0.75 0.20 1.09 0.5 -0.56 -0.15 -0.81 0.72 -0.46 0.53 0 0
-1.42 -0.95 1.94 0.5 0.55 0.37 -0.75 -0.45 0.08 0.89 0 1
1.20 -1.38 0.38 0.5 -0.64 0.74 -0.20 0.75 -0.34 0.57 0 0
0.07 1.38 -0.04 0.5 -0.05 -1.00 0.03 -0.59 0.81 -0.05 0 0
-0.59 -1.66 -1.87 0.5 0.23 0.65 0.73 -0.70 -0.56 -0.45 0 0
0.44 0.80 1.10 0.5 -0.31 -0.56 -0.77 0.36 0.89 -0.27 0 1
-2.04 2.85 0.89 0.5 0.56 -0.79 -0.25 0.49 -0.87 0.01 0 0
0.08 1.30 -0.03 0.5 -0.06 -1.00 0.02 -0.65 0.75 0.12 0 0
0.54 0.67 -1.72 0.5 -0.28 -0.35 0.89 -0.83 -0.54 -0.12 0 1
1.17 -0.56 2.21 0.5 -0.46 0.22 -0.86 0.04 0.30 -0.95 0 1
0.53 1.09 -2.06 0.5 -0.22 -0.46 0.86 -0.98 0.04 0.21 0 0
-0.52 -1.46 0.73 0.5 0.30 0.85 -0.43 -0.24 -0.78 0.58 0 1
-2.16 2.29 -0.27 0.5 0.68 -0.73 0.08 0.77 0.30 0.57 0 1
-0.18 1.10 -0.42 0.5 0.15 -0.92 0.35 -0.86 0.48 0.16 0 0
1.55 0.54 0.04 0.5 -0.94 -0.33 -0.03 -0.67 0.70 -0.23 0 1
-0.20 -1.06 0.15 0.5 0.18 0.97 -0.14 -0.63 -0.57 -0.53 0 1
-0.41 -1.86 -2.39 0.5 0.13 0.61 0.78 0.37 -0.54 0.76 0 1
-0.97 1.59 -0.45 0.5 0.51 -0.83 0.24 0.70 0.60 0.39 0 1
-0.79 1.38 0.83 0.5 0.44 -0.77 -0.46 0.01 0.71 -0.70 0 0
-0.32 -0.90 -0.59 0.5 0.28 0.80 0.53 0.46 -0.48 0.75 0 0
0.27 -2.07 3.38 0.5 -0.07 0.52 -0.85 -0.10 -0.62 0.78 0 0
3.71 0.76 0.43 0.5 -0.97 -0.20 -0.11 -0.54 0.80 0.25 0 0
-0.63 0.92 2.78 0.5 0.21 -0.31 -0.93 0.83 0.26 -0.49 0 0
0.90 -3.04 1.92 0.5 -0.24 0.82 -0.52 0.44 -0.84 0.32 0 1
-0.62 3.65 0.49 0.5 0.17 -0.98 -0.13 -0.72 0.69 -0.05 0 0
-1.91 1.23 -1.18 0.5 0.75 -0.48 0.46 -0.92 -0.35 0.18 0 0
2.24 0.02 1.13 0.5 -0.89 -0.01 -0.45 -0.49 0.59 0.64 0 1
2.66 0.58 0.99 0.5 -0.92 -0.20 -0.34 0.60 -0.52 0.61 0 1
-2.33 -1.76 -1.44 0.5 0.72 0.54 0.44 -0.63 -0.28 -0.72 0 0
1.20 0.01 0.72 0.5 -0.86 -0.01 -0.52 0.55 0.72 -0.42 0 0
-0.32 1.58 -0.22 0.5 0.20 -0.97 0.13 0.73 -0.34 0.59 0 0
-1.79 -2.32 2.55 0.5 0.46 0.60 -0.66 0.33 0.71 -0.62 0 0
0.31 -0.79 -2.84 0.5 -0.10 0.27 0.96 -0.33 0.02 0.94 0 1
0.48 -0.16 -1.03 0.5 -0.42 0.14 0.90 0.52 0.82 -0.26 0 1
-0.56 -1.98 -2.13 0.5 0.19 0.67 0.72 -0.79 -0.39 0.46 0 1
2.12 0.13 -1.41 0.5 -0.83 -0.05 0.55 -0.34 0.17 0.93 0 1
2.00 0.43 -0.67 0.5 -0.93 -0.20 0.31 -0.21 0.87 -0.44 0 1
1.90 1.06 0.49 0.5 -0.85 -0.47 -0.22 -0.82 -0.22 0.53 0 1
0.31 0.49 1.69 0.5 -0.17 -0.28 -0.95 0.63 0.14 0.77 0 1
-0.65 0.02 -1.30 0.5 0.45 -0.02 0.90 0.44 -0.01 -0.90 0 0
0.35 0.42 -1.14 0.5 -0.28 -0.33 0.90 -0.38 0.16 0.91 0 0
3.86 -0.09 -0.73 0.5 -0.98 0.02 0.19 -0.69 -0.66 0.28 0 1
-2.10 -2.39 -1.09 0.5 0.63 0.71 0.32 -0.11 -0.95 0.30 0 0
-1.77 0.33 1.35 0.5 0.79 -0.15 -0.60 0.89 -0.45 0.04 0 0
0.77 -0.18 -0.74 0.5 -0.71 0.16 0.68 0.86 0.17 -0.47 0 1
-0.32 2.76 0.50 0.5 0.11 -0.98 -0.18 -0.82 -0.05 -0.57 0 1
0.27 -3.90 -0.03 0.5 -0.07 1.00 0.01 0.15 0.30 0.94 0 1
